[2026-04-04 10:56:03][INFO] 日志记录器初始化完成 | log_dir=./logs
[2026-04-04 10:56:03][INFO] 文本日志: ./logs\training_20260404_105603.log
[2026-04-04 10:56:03][INFO] JSON 日志: ./logs\training_20260404_105603.json
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] 联邦蒸馏客户端模型预训练启动
[2026-04-04 10:56:03][INFO] 数据集: CIFAR10 | 客户端数: 10
[2026-04-04 10:56:03][INFO] 预训练轮数: 100 | 设备: cuda
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] [pretrain] 待训练客户端: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-04-04 10:56:03][INFO] [pretrain] Step 1: 加载/创建数据集划分...
[2026-04-04 10:56:07][INFO] [pretrain] 数据加载完成，共 10 个客户端
[2026-04-04 10:56:07][INFO] [pretrain] Step 2: 分配客户端模型结构...
[2026-04-04 10:56:07][INFO]   Client  0 → SMALL
[2026-04-04 10:56:07][INFO]   Client  1 → LARGE
[2026-04-04 10:56:07][INFO]   Client  2 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  3 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  4 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  5 → LARGE
[2026-04-04 10:56:07][INFO]   Client  6 → SMALL
[2026-04-04 10:56:07][INFO]   Client  7 → LARGE
[2026-04-04 10:56:07][INFO]   Client  8 → SMALL
[2026-04-04 10:56:07][INFO]   Client  9 → SMALL
[2026-04-04 10:56:07][INFO] [pretrain] 模型结构分配已保存: ./teacher_ckpts\client_model_types.json
[2026-04-04 10:56:07][INFO] [pretrain] Step 3: 开始预训练（串行模式）...
[2026-04-04 10:56:07][INFO] [pretrain] ── Client 0 开始 | 模型结构: SMALL | 本地样本数: 6071 ──
[2026-04-04 10:56:08][INFO] [预训练] Client 0 开始训练，共 100 轮，设备: cuda
[2026-04-04 11:27:35][DEBUG] [Client 1] Epoch   4/100 | Loss=0.6263 | Acc=0.3437 | Best=0.3437(ep4) | LR=0.099606
[2026-04-04 11:28:20][DEBUG] [Client 1] Epoch   5/100 | Loss=0.5762 | Acc=0.3460 | Best=0.3460(ep5) | LR=0.099385
[2026-04-04 11:29:05][DEBUG] [Client 1] Epoch   6/100 | Loss=0.5297 | Acc=0.3790 | Best=0.3790(ep6) | LR=0.099115
[2026-04-04 11:29:50][DEBUG] [Client 1] Epoch   7/100 | Loss=0.4991 | Acc=0.3548 | Best=0.3790(ep6) | LR=0.098797
[2026-04-04 11:30:35][DEBUG] [Client 1] Epoch   8/100 | Loss=0.4744 | Acc=0.3677 | Best=0.3790(ep6) | LR=0.098431
[2026-04-04 11:31:20][DEBUG] [Client 1] Epoch   9/100 | Loss=0.4428 | Acc=0.4039 | Best=0.4039(ep9) | LR=0.098017
[2026-04-04 11:32:05][DEBUG] [Client 1] Epoch  10/100 | Loss=0.4214 | Acc=0.4156 | Best=0.4156(ep10) | LR=0.097555
[2026-04-04 11:32:50][DEBUG] [Client 1] Epoch  11/100 | Loss=0.4005 | Acc=0.4080 | Best=0.4156(ep10) | LR=0.097047
[2026-04-04 11:33:35][DEBUG] [Client 1] Epoch  12/100 | Loss=0.3758 | Acc=0.3791 | Best=0.4156(ep10) | LR=0.096492
[2026-04-04 11:34:20][DEBUG] [Client 1] Epoch  13/100 | Loss=0.3584 | Acc=0.4289 | Best=0.4289(ep13) | LR=0.095892
[2026-04-04 11:35:05][DEBUG] [Client 1] Epoch  14/100 | Loss=0.3390 | Acc=0.4037 | Best=0.4289(ep13) | LR=0.095246
[2026-04-04 11:35:50][DEBUG] [Client 1] Epoch  15/100 | Loss=0.3201 | Acc=0.4360 | Best=0.4360(ep15) | LR=0.094556
[2026-04-04 11:36:35][DEBUG] [Client 1] Epoch  16/100 | Loss=0.3103 | Acc=0.4327 | Best=0.4360(ep15) | LR=0.093822
[2026-04-04 11:37:20][DEBUG] [Client 1] Epoch  17/100 | Loss=0.2954 | Acc=0.4531 | Best=0.4531(ep17) | LR=0.093044
[2026-04-04 11:38:05][DEBUG] [Client 1] Epoch  18/100 | Loss=0.2787 | Acc=0.4544 | Best=0.4544(ep18) | LR=0.092224
[2026-04-04 11:38:50][DEBUG] [Client 1] Epoch  19/100 | Loss=0.2649 | Acc=0.4471 | Best=0.4544(ep18) | LR=0.091363
[2026-04-04 11:39:36][DEBUG] [Client 1] Epoch  20/100 | Loss=0.2639 | Acc=0.4713 | Best=0.4713(ep20) | LR=0.090460
[2026-04-04 11:40:21][DEBUG] [Client 1] Epoch  21/100 | Loss=0.2515 | Acc=0.4393 | Best=0.4713(ep20) | LR=0.089518
[2026-04-04 11:41:06][DEBUG] [Client 1] Epoch  22/100 | Loss=0.2484 | Acc=0.4437 | Best=0.4713(ep20) | LR=0.088537
[2026-04-04 11:41:51][DEBUG] [Client 1] Epoch  23/100 | Loss=0.2353 | Acc=0.4741 | Best=0.4741(ep23) | LR=0.087518
[2026-04-04 11:42:36][DEBUG] [Client 1] Epoch  24/100 | Loss=0.2289 | Acc=0.4584 | Best=0.4741(ep23) | LR=0.086462
[2026-04-04 11:43:21][DEBUG] [Client 1] Epoch  25/100 | Loss=0.2263 | Acc=0.4556 | Best=0.4741(ep23) | LR=0.085370
[2026-04-04 11:44:05][DEBUG] [Client 1] Epoch  26/100 | Loss=0.2168 | Acc=0.4485 | Best=0.4741(ep23) | LR=0.084243
[2026-04-04 11:44:50][DEBUG] [Client 1] Epoch  27/100 | Loss=0.2094 | Acc=0.4768 | Best=0.4768(ep27) | LR=0.083083
